Time Lapsed,Magnetic field Y
0.000,11.393
0.112,11.38
0.182,11.247
50.283,11.427
50.386,11.373
50.489,11.307
50.592,11.26
50.694,11.373
50.796,11.4
50.882,11.333
51.003,11.42
51.104,11.427
51.207,11.373
51.315,11.36
51.413,11.28
51.510,11.46
51.616,11.307
51.717,11.38
51.820,11.44
51.940,11.367
52.030,11.273
52.128,11.36
52.229,11.3
52.352,11.38
52.434,11.4
52.461,11.44
52.560,11.247
52.676,11.347
52.771,11.36
52.868,11.38
52.970,11.307
53.072,11.273
53.176,11.293
53.278,11.367
53.356,11.32
53.459,11.36
53.560,11.407
53.684,11.433
53.778,11.367
53.869,11.24
53.970,11.293
54.072,11.44
54.189,11.34
54.258,11.307
54.380,11.293
54.514,11.327
54.553,11.387
54.687,11.453
54.790,11.433
54.880,11.373
54.994,11.26
55.096,11.347
55.198,11.493
55.303,11.393
55.405,11.293
55.506,11.18
55.614,11.347
55.712,11.453
55.813,11.327
55.916,11.347
56.050,11.4
56.052,11.367
56.150,11.367
56.250,11.393
56.351,11.52
56.453,11.493
56.557,11.387
56.657,11.34
56.760,11.433
56.860,11.327
56.964,11.28
57.048,11.34
57.170,11.52
57.249,11.467
57.351,11.34
57.452,11.247
57.554,11.32
57.659,11.287
57.761,11.373
57.864,11.373
57.963,11.273
58.067,11.333
58.186,11.333
58.274,11.387
58.375,11.447
58.476,11.367
58.599,11.393
58.681,11.333
58.785,11.32
58.887,11.307
58.991,11.273
59.089,11.327
59.193,11.347
59.296,11.407
59.402,11.413
59.499,11.327
59.603,11.293
59.706,11.333
59.809,11.36
59.915,11.3
59.944,11.207
60.050,11.327
60.137,11.367
110.239,11.333
110.342,11.387
110.460,11.327
110.552,11.407
110.650,11.313
110.760,11.367
110.859,11.38
110.938,11.32
111.036,11.293
111.139,11.34
111.241,11.493
111.366,11.407
111.445,11.4
111.548,11.3
111.666,11.307
111.784,11.353
111.864,11.453
111.980,11.367
112.060,11.293
112.163,11.38
112.274,11.407
112.369,11.413
112.436,11.333
112.537,11.26
112.641,11.38
112.742,11.367
112.855,11.367
112.981,11.287
113.087,11.44
113.188,11.42
113.291,11.28
113.393,11.307
113.494,11.273
113.597,11.287
113.700,11.347
113.803,11.267
113.830,11.373
113.928,11.467
114.029,11.353
114.132,11.3
114.233,11.413
114.338,11.38
114.435,11.34
114.548,11.293
114.645,11.327
114.747,11.36
114.847,11.42
114.927,11.587
115.035,11.32
115.134,11.393
115.239,11.34
115.337,11.467
115.444,11.467
115.542,11.38
115.652,11.347
115.748,11.367
115.849,11.307
115.951,11.393
116.055,11.313
116.156,11.267
116.273,11.407
116.361,11.333
116.464,11.253
116.565,11.28
116.685,11.32
116.777,11.333
116.875,11.333
116.975,11.34
117.079,11.28
117.180,11.34
117.283,11.24
117.386,11.313
117.418,11.347
117.516,11.347
117.693,11.42
117.717,11.373
117.819,11.353
117.921,11.287
118.024,11.293
118.134,11.3
118.231,11.407
118.334,11.38
118.432,11.46
118.521,11.48
118.619,11.44
118.716,11.253
118.845,11.26
118.922,11.34
119.023,11.44
119.146,11.42
119.235,11.293
119.331,11.32
119.433,11.28
119.536,11.287
119.623,11.433
119.739,11.42
119.842,11.367
119.949,11.44
120.037,11.32
120.151,11.307
410.252,11.3
410.359,11.347
410.455,11.407
410.560,11.46
410.657,11.353
410.764,11.44
410.864,11.347
410.969,11.313
411.048,11.36
411.173,11.36
411.277,11.233
411.378,11.347
411.416,11.373
411.510,11.353
411.608,11.293
411.711,11.36
411.812,11.28
411.914,11.5
412.016,11.413
412.119,11.293
412.222,11.4
412.324,11.313
412.403,11.293
412.519,11.333
412.611,11.467
412.710,11.38
412.813,11.433
412.932,11.413
413.016,11.393
413.137,11.367
413.255,11.347
413.325,11.313
413.428,11.313
413.531,11.367
413.632,11.333
413.759,11.367
413.836,11.247
413.900,11.393
414.006,11.313
414.143,11.34
414.247,11.38
414.356,11.273
414.429,11.293
414.553,11.38
414.655,11.347
414.743,11.393
414.864,11.26
414.961,11.44
415.067,11.427
415.172,11.367
415.198,11.34
415.298,11.38
415.396,11.36
415.507,11.307
415.603,11.407
415.703,11.32
415.872,11.367
415.900,11.313
416.011,11.347
416.113,11.34
416.195,11.353
416.293,11.32
416.396,11.393
416.499,11.427
416.606,11.387
416.703,11.373
416.805,11.333
416.930,11.28
417.011,11.407
417.113,11.36
417.216,11.24
417.319,11.373
417.421,11.413
417.540,11.3
417.665,11.26
417.728,11.267
417.830,11.407
417.890,11.44
418.034,11.387
418.139,11.207
418.198,11.367
418.298,11.28
418.444,11.327
418.507,11.333
418.614,11.3
418.717,11.353
418.820,11.347
418.957,11.34
418.985,11.313
419.179,11.32
419.183,11.347
419.302,11.273
419.390,11.38
419.504,11.38
419.602,11.367
419.699,11.413
419.798,11.407
419.902,11.293
419.981,11.313
420.083,11.247
420.185,11.26
470.296,11.433
470.391,11.367
470.493,11.287
470.604,11.353
470.687,11.26
470.795,11.373
470.896,11.387
