Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:27:24.480,COM3,, 0.999, -0.058, 0.014, 0.000, 0.000, 0.000, -75.981, -87.138, -12.156, -56.020, 3.913, 39.100, 29.76,,,,,,,,,,,,,,,,
 17:27:25.366,COM3,, 0.999, -0.058, 0.013, 0.000, 0.000, 0.000, -75.992, -87.138, -12.156, -55.960, 3.887, 39.100, 29.74,,,,,,,,,,,,,,,,
 17:27:25.369,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.003, -87.138, -12.156, -55.947, 3.880, 38.980, 29.77,,,,,,,,,,,,,,,,
 17:27:25.370,COM3,, 0.999, -0.058, 0.013, 0.000, 0.000, 0.000, -76.009, -87.144, -12.156, -55.933, 3.867, 38.960, 29.77,,,,,,,,,,,,,,,,
 17:27:25.370,COM3,, 0.999, -0.058, 0.013, 0.000, 0.000, 0.000, -76.025, -87.144, -12.156, -55.960, 3.847, 38.813, 29.76,,,,,,,,,,,,,,,,
 17:27:25.371,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.053, -87.144, -12.156, -55.967, 3.933, 38.940, 29.71,,,,,,,,,,,,,,,,
 17:27:25.372,COM3,, 0.998, -0.058, 0.013, 0.000, 0.000, 0.000, -76.075, -87.144, -12.156, -56.060, 3.880, 38.927, 29.76,,,,,,,,,,,,,,,,
 17:27:25.372,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.086, -87.144, -12.156, -56.067, 3.893, 38.800, 29.74,,,,,,,,,,,,,,,,
 17:27:25.372,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.091, -87.144, -12.156, -55.920, 3.773, 38.893, 29.76,,,,,,,,,,,,,,,,
 17:27:25.380,COM3,, 0.998, -0.058, 0.014, 0.000, 0.000, 0.000, -76.102, -87.144, -12.156, -55.867, 3.920, 38.707, 29.77,,,,,,,,,,,,,,,,
