Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 21:30:11.986,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.653, 11.800, -46.287, 26.35,,,,,,,,,,,,,,,,
 21:30:12.115,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.700, 11.740, -46.287, 26.37,,,,,,,,,,,,,,,,
 21:30:12.185,COM3,, -0.004, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.620, 11.693, -46.427, 26.32,,,,,,,,,,,,,,,,
 21:30:12.299,COM3,, -0.004, -0.014, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.733, 11.807, -46.567, 26.35,,,,,,,,,,,,,,,,
 21:30:12.397,COM3,, -0.005, -0.015, 0.999, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.680, 11.827, -46.367, 26.35,,,,,,,,,,,,,,,,
 21:30:12.494,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.560, 11.800, -46.533, 26.35,,,,,,,,,,,,,,,,
 21:30:12.597,COM3,, -0.005, -0.014, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.553, 11.833, -46.340, 26.35,,,,,,,,,,,,,,,,
 21:30:12.692,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.627, 11.800, -46.407, 26.37,,,,,,,,,,,,,,,,
 21:30:12.791,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.647, 11.700, -46.313, 26.35,,,,,,,,,,,,,,,,
 21:30:12.920,COM3,, -0.004, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.680, 11.780, -46.280, 26.34,,,,,,,,,,,,,,,,
 21:30:13.008,COM3,, -0.005, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.593, 11.773, -46.753, 26.30,,,,,,,,,,,,,,,,
 21:30:13.105,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.660, 11.813, -46.393, 26.37,,,,,,,,,,,,,,,,
 21:30:13.202,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.620, 11.740, -46.327, 26.34,,,,,,,,,,,,,,,,
 21:30:13.299,COM3,, -0.004, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.613, 11.807, -46.200, 26.35,,,,,,,,,,,,,,,,
 21:30:13.400,COM3,, -0.004, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.587, 11.767, -46.393, 26.32,,,,,,,,,,,,,,,,
 21:30:13.521,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.600, 11.913, -46.693, 26.35,,,,,,,,,,,,,,,,
 21:30:13.619,COM3,, -0.004, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.607, 11.713, -46.320, 26.35,,,,,,,,,,,,,,,,
 21:30:13.723,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.720, -46.380, 26.35,,,,,,,,,,,,,,,,
 21:30:13.821,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.753, 11.773, -46.520, 26.32,,,,,,,,,,,,,,,,
 21:30:13.868,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.693, 11.800, -46.653, 26.34,,,,,,,,,,,,,,,,
 21:30:14.023,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.553, 11.780, -46.867, 26.32,,,,,,,,,,,,,,,,
 21:30:14.066,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.633, 11.840, -46.253, 26.34,,,,,,,,,,,,,,,,
 21:30:14.232,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.647, 11.753, -46.320, 26.34,,,,,,,,,,,,,,,,
 21:30:14.328,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.700, 11.820, -46.227, 26.37,,,,,,,,,,,,,,,,
 21:30:14.434,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.560, 11.920, -46.520, 26.29,,,,,,,,,,,,,,,,
 21:30:14.486,COM3,, -0.004, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.767, 11.873, -46.633, 26.34,,,,,,,,,,,,,,,,
 21:30:14.579,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.767, 11.893, -46.227, 26.38,,,,,,,,,,,,,,,,
 21:30:14.675,COM3,, -0.004, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.693, 11.633, -46.213, 26.35,,,,,,,,,,,,,,,,
 21:30:14.849,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.687, 11.800, -46.313, 26.38,,,,,,,,,,,,,,,,
 21:30:14.875,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.720, 11.833, -46.600, 26.37,,,,,,,,,,,,,,,,
 21:30:14.983,COM3,, -0.005, -0.015, 1.000, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.727, 11.853, -46.447, 26.37,,,,,,,,,,,,,,,,
 21:30:15.081,COM3,, -0.004, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.527, 11.820, -46.440, 26.38,,,,,,,,,,,,,,,,
 21:30:15.164,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.740, 11.880, -46.207, 26.34,,,,,,,,,,,,,,,,
 21:30:15.284,COM3,, -0.005, -0.015, 1.002, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.693, 11.827, -46.413, 26.35,,,,,,,,,,,,,,,,
 21:30:15.375,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.673, 11.887, -46.687, 26.35,,,,,,,,,,,,,,,,
 21:30:15.492,COM3,, -0.005, -0.016, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.620, 11.907, -46.420, 26.34,,,,,,,,,,,,,,,,
 21:30:15.581,COM3,, -0.005, -0.015, 1.001, 0.000, 0.000, 0.000, -0.176, -0.280, -71.406, -34.667, 11.907, -46.507, 26.35,,,,,,,,,,,,,,,,
