Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Pressure(Pa),Height(m),Longitude(),Latitude(),GPS ground speed(km),Angle of course(°),GPS height(m),Number of satellites(),Position location(),Horizontal position(),Vertical position(),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 17:10:40.840,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.067, 14.940, -41.367, 26.57,,,,,,,,,,,,,,,,
 17:10:40.890,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.040, 14.827, -41.067, 26.54,,,,,,,,,,,,,,,,
 17:10:40.989,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.020, 14.753, -41.107, 26.56,,,,,,,,,,,,,,,,
 17:10:41.156,COM3,, 0.000, -0.009, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.953, 14.913, -41.420, 26.52,,,,,,,,,,,,,,,,
 17:10:41.252,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.033, 14.827, -41.200, 26.57,,,,,,,,,,,,,,,,
 17:10:41.353,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.887, 14.827, -41.213, 26.54,,,,,,,,,,,,,,,,
 17:10:41.405,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.020, 14.840, -41.140, 26.54,,,,,,,,,,,,,,,,
 17:10:41.502,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.120, 14.860, -41.233, 26.56,,,,,,,,,,,,,,,,
 17:10:41.600,COM3,, 0.000, -0.007, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.007, 14.880, -41.380, 26.57,,,,,,,,,,,,,,,,
 17:10:41.700,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.993, 14.853, -41.213, 26.54,,,,,,,,,,,,,,,,
 17:10:41.796,COM3,, 0.000, -0.008, 1.002, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.040, 14.813, -41.053, 26.54,,,,,,,,,,,,,,,,
 17:10:41.894,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.080, 14.873, -41.060, 26.59,,,,,,,,,,,,,,,,
 17:10:41.990,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.073, 14.947, -40.980, 26.56,,,,,,,,,,,,,,,,
 17:10:42.088,COM3,, 0.000, -0.007, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.020, 14.860, -40.847, 26.54,,,,,,,,,,,,,,,,
 17:10:42.211,COM3,, 0.000, -0.008, 1.001, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.960, 14.940, -41.120, 26.54,,,,,,,,,,,,,,,,
 17:10:42.377,COM3,, 0.000, -0.008, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.933, 14.840, -41.033, 26.54,,,,,,,,,,,,,,,,
 17:10:42.412,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.007, 14.840, -41.233, 26.56,,,,,,,,,,,,,,,,
 17:10:42.501,COM3,, 0.000, -0.007, 1.004, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.027, 14.840, -41.033, 26.57,,,,,,,,,,,,,,,,
 17:10:42.603,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -18.027, 14.773, -41.073, 26.57,,,,,,,,,,,,,,,,
 17:10:42.700,COM3,, 0.000, -0.008, 1.003, 0.000, 0.000, 0.000, 0.225, -0.544, -50.955, -17.980, 14.847, -41.187, 26.57,,,,,,,,,,,,,,,,
