Time (s),Linear Acceleration x (m/s^2)
5.802070815E-2,1.927525504E-3
6.795770815E-2,-1.047555636E-2
7.789370837E-2,6.542531820E-3
8.783070836E-2,1.310025726E-2
9.776770836E-2,7.125385017E-3
1.077047084E-1,5.355894221E-3
1.176417083E-1,1.518836650E-2
1.275777083E-1,-4.329712442E-3
1.375147083E-1,1.052745954E-2
1.474517083E-1,-7.814301224E-3
1.573887083E-1,-3.289104486E-4
1.673257083E-1,7.380830683E-4
1.772617083E-1,1.317818055E-2
1.871987083E-1,1.058956793E-2
1.971357083E-1,2.262833628E-2
2.070727083E-1,3.959620236E-3
2.170097083E-1,1.604159403E-2
2.269457083E-1,7.318923287E-3
2.368827083E-1,1.628945659E-2
2.468197083E-1,9.369825041E-3
2.567567083E-1,1.833819305E-3
2.666937083E-1,1.222126544E-2
2.766297082E-1,4.138586149E-3
2.865667082E-1,2.045424557E-3
2.965037082E-1,4.150678008E-3
3.064407082E-1,1.578335267E-2
3.163777082E-1,1.034943466E-2
3.263137082E-1,-5.404480929E-3
3.362507082E-1,9.826944829E-3
3.461877082E-1,1.593274903E-3
3.561247082E-1,2.609994699E-2
3.660617082E-1,1.170872957E-2
3.759977082E-1,1.263761003E-2
3.859347082E-1,5.185082434E-3
3.958717082E-1,1.269483965E-2
4.058087082E-1,-6.803966314E-3
4.157447082E-1,6.788224513E-3
4.256817081E-1,8.812197098E-3
4.356187081E-1,-4.075746853E-3
4.455557081E-1,-1.080665038E-2
4.554927084E-1,1.504686845E-2
4.654297084E-1,1.768548389E-2
4.753657083E-1,-6.868783613E-3
4.853027083E-1,1.291844083E-2
4.952397083E-1,-7.225778969E-3
5.051767083E-1,4.444555412E-3
5.151127083E-1,7.910821396E-3
5.250497083E-1,1.561577969E-2
5.349867083E-1,1.244319925E-2
5.449237083E-1,9.030768760E-3
5.548607083E-1,4.749802910E-3
5.647967083E-1,-1.862022984E-3
5.747337083E-1,-1.865452284E-2
5.846707083E-1,-1.705906894E-3
5.946077083E-1,8.553677076E-3
6.045447083E-1,-2.759227976E-3
6.144807083E-1,-2.145274901E-3
6.244177083E-1,-7.600019043E-3
6.343547083E-1,4.973212229E-3
6.442917082E-1,1.646701095E-2
6.542287082E-1,-2.127897707E-3
6.641657082E-1,-1.120417425E-2
6.741017082E-1,5.768547761E-3
6.840387082E-1,1.027941882E-2
6.939757082E-1,-2.689764882E-4
7.039127082E-1,-2.551345755E-3
7.138487082E-1,5.893975105E-3
7.237857082E-1,-1.983000962E-3
7.337227082E-1,-3.250220502E-3
7.436597082E-1,7.465574197E-3
7.535967082E-1,1.363719155E-2
7.635327082E-1,1.247727298E-3
7.734697082E-1,3.306554770E-4
7.834067082E-1,-1.550903603E-2
7.933437082E-1,-4.777805591E-3
8.032807081E-1,2.034826479E-3
8.132167084E-1,4.984865547E-3
8.231537084E-1,-3.704887200E-3
8.330907084E-1,1.260038428E-3
8.430277084E-1,4.293802315E-3
8.529647083E-1,6.602598256E-3
8.629007083E-1,4.620332764E-3
8.728377083E-1,3.320793654E-3
8.827747083E-1,1.030928987E-2
8.927117083E-1,-1.515210005E-3
9.026487083E-1,9.885316486E-3
