Time (s),Absolute acceleration (m/s^2)
3.374166659E-2,7.361448886E-2
4.367866658E-2,8.098609370E-2
5.361466657E-2,8.890106856E-2
6.355166656E-2,8.164353873E-2
7.348766667E-2,7.983312509E-2
8.342466666E-2,8.458704624E-2
9.336166666E-2,8.266394867E-2
1.032976666E-1,6.236493832E-2
1.132346666E-1,6.615322375E-2
1.231706666E-1,8.123562395E-2
1.331076666E-1,6.862344954E-2
1.430436666E-1,7.579219058E-2
1.529806666E-1,7.674349106E-2
1.629166666E-1,7.546687816E-2
1.728536666E-1,7.864487008E-2
1.827896666E-1,7.566442796E-2
1.927266666E-1,7.548059401E-2
2.026636666E-1,8.010448919E-2
2.125996667E-1,7.860384060E-2
2.225366667E-1,8.263941400E-2
2.324726667E-1,8.415799638E-2
2.424096667E-1,8.700495008E-2
2.523456666E-1,8.689924544E-2
2.622826666E-1,7.343485650E-2
2.722186666E-1,7.878661722E-2
2.821556666E-1,7.331331945E-2
2.920916666E-1,7.752910444E-2
3.020286666E-1,7.350115835E-2
3.119656666E-1,7.378015445E-2
3.219016666E-1,7.781282605E-2
3.318386666E-1,7.456064736E-2
3.417746666E-1,7.118360788E-2
3.517116666E-1,7.228196551E-2
3.616476667E-1,7.550808868E-2
3.715846667E-1,7.740898965E-2
3.815206666E-1,7.540919970E-2
3.914576666E-1,7.899723236E-2
4.013936666E-1,8.236526897E-2
4.113306666E-1,8.005974564E-2
4.212676666E-1,7.777462006E-2
4.312036666E-1,7.527854594E-2
4.411406666E-1,7.854209413E-2
4.510766666E-1,7.647992234E-2
4.610130417E-1,8.289798211E-2
4.709490417E-1,8.344899778E-2
4.808860417E-1,8.036314895E-2
4.908220416E-1,7.063330317E-2
5.007590416E-1,7.320498347E-2
5.106950416E-1,7.922656663E-2
5.206320416E-1,7.556395883E-2
5.305680416E-1,8.260699312E-2
5.405050416E-1,7.587822650E-2
5.504420416E-1,7.992702017E-2
5.603780416E-1,7.114444067E-2
5.703150416E-1,9.065319026E-2
5.802510416E-1,7.740734121E-2
5.901880416E-1,7.499889848E-2
6.001240417E-1,7.530755782E-2
6.100610417E-1,7.389791521E-2
6.199970416E-1,6.758892742E-2
6.299340416E-1,6.926425903E-2
6.398700416E-1,7.827538140E-2
6.498070416E-1,6.959790177E-2
6.597440416E-1,7.419122562E-2
