"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.374166659E-2,1.671280414E-3,9.819850512E-4,7.358896315E-2,7.361448886E-2
4.367866658E-2,5.638086330E-3,1.673363484E-3,8.077226758E-2,8.098609370E-2
5.361466657E-2,-1.295439664E-2,-8.796382206E-3,8.751118362E-2,8.890106856E-2
6.355166656E-2,-1.458533127E-3,-4.129856438E-3,8.152597368E-2,8.164353873E-2
7.348766667E-2,-2.940473389E-3,-2.769204788E-3,7.973087847E-2,7.983312509E-2
8.342466666E-2,8.591204323E-4,-5.919067883E-3,8.437532187E-2,8.458704624E-2
9.336166666E-2,-4.655114561E-4,-3.703302057E-3,8.257964194E-2,8.266394867E-2
1.032976666E-1,-6.003336310E-3,6.137155322E-4,6.207228720E-2,6.236493832E-2
1.132346666E-1,-5.855712388E-3,-8.316618162E-3,6.536660850E-2,6.615322375E-2
1.231706666E-1,-6.841534674E-3,-1.502939989E-3,8.093306601E-2,8.123562395E-2
1.331076666E-1,-1.081325591E-2,-1.004638444E-3,6.775870442E-2,6.862344954E-2
1.430436666E-1,-7.709608655E-3,1.056281235E-3,7.539165974E-2,7.579219058E-2
1.529806666E-1,-2.602211963E-3,-9.235718236E-3,7.614127278E-2,7.674349106E-2
1.629166666E-1,8.930160105E-4,-1.000618483E-2,7.479524374E-2,7.546687816E-2
1.728536666E-1,-6.893629711E-3,6.300470796E-3,7.808839560E-2,7.864487008E-2
1.827896666E-1,3.263440691E-3,-2.676786804E-3,7.554661095E-2,7.566442796E-2
1.927266666E-1,-5.679126475E-3,-5.033740047E-3,7.509812951E-2,7.548059401E-2
2.026636666E-1,5.513193458E-3,-7.227546838E-3,7.958703697E-2,8.010448919E-2
2.125996667E-1,3.250558544E-3,-1.078097745E-2,7.779311121E-2,7.860384060E-2
2.225366667E-1,-3.548291456E-3,-8.418236375E-3,8.213291466E-2,8.263941400E-2
2.324726667E-1,2.418408394E-3,-5.658939877E-3,8.393268764E-2,8.415799638E-2
2.424096667E-1,-4.816826619E-3,4.030901450E-3,8.677794278E-2,8.700495008E-2
2.523456666E-1,-6.402207781E-3,-2.285982664E-3,8.663293183E-2,8.689924544E-2
2.622826666E-1,-1.216714215E-3,-1.215018979E-2,7.241250336E-2,7.343485650E-2
2.722186666E-1,-2.693172712E-3,-5.470303218E-3,7.855032563E-2,7.878661722E-2
2.821556666E-1,-7.950221580E-3,-9.476650930E-3,7.226222992E-2,7.331331945E-2
2.920916666E-1,-4.586811773E-3,-9.935634518E-3,7.675289154E-2,7.752910444E-2
3.020286666E-1,-5.414631329E-3,-4.583193809E-3,7.315802336E-2,7.350115835E-2
3.119656666E-1,-1.162718832E-2,-6.625443511E-3,7.255634487E-2,7.378015445E-2
3.219016666E-1,-7.601928525E-4,1.182416640E-3,7.780012786E-2,7.781282605E-2
3.318386666E-1,-2.732495237E-3,-4.308118857E-4,7.450931489E-2,7.456064736E-2
3.417746666E-1,-6.901395544E-3,3.390393793E-3,7.076709688E-2,7.118360788E-2
3.517116666E-1,-1.324282883E-2,-1.517728876E-2,6.941872895E-2,7.228196551E-2
