Time (s),Absolute acceleration (m/s^2)
1.786891667E-2,6.151565515E-2
2.780291667E-2,6.339498051E-2
3.773691667E-2,5.790476550E-2
4.767091667E-2,6.196649345E-2
5.760491667E-2,5.807609718E-2
6.753891666E-2,6.541655844E-2
7.747291667E-2,6.538153778E-2
8.740691667E-2,6.338700533E-2
9.734191667E-2,6.285645048E-2
1.072759167E-1,5.923499840E-2
1.172099167E-1,6.996349756E-2
1.271439167E-1,6.940172898E-2
1.370779167E-1,5.998111987E-2
1.470119167E-1,7.069618183E-2
1.569459167E-1,6.303614954E-2
1.668799167E-1,6.620049035E-2
1.768139167E-1,6.156930490E-2
1.867479167E-1,5.534801754E-2
1.966810417E-1,6.698171960E-2
2.066150417E-1,6.317705318E-2
2.165490417E-1,6.294409834E-2
2.264830417E-1,6.226239714E-2
2.364180417E-1,6.311537672E-2
2.463520417E-1,6.009022645E-2
2.562860417E-1,7.142217387E-2
2.662200417E-1,6.045732031E-2
2.761540417E-1,7.041819263E-2
2.860880417E-1,6.483965460E-2
2.960220417E-1,5.918932714E-2
3.059560417E-1,6.536685009E-2
3.158900417E-1,6.459722711E-2
3.258240417E-1,7.048241918E-2
3.357580417E-1,5.918895827E-2
3.456920417E-1,7.364205602E-2
3.556260417E-1,7.353997562E-2
3.655600417E-1,6.842338343E-2
3.754950417E-1,6.162246367E-2
3.854290417E-1,6.299565804E-2
3.953630417E-1,5.808199623E-2
4.052970417E-1,7.143295229E-2
4.152310417E-1,6.322024348E-2
4.251650417E-1,6.842855324E-2
4.350990417E-1,6.168540245E-2
4.450330417E-1,6.830533999E-2
4.549670417E-1,5.870141694E-2
4.649010417E-1,6.421886921E-2
4.748350417E-1,6.370047569E-2
4.847690417E-1,6.203720064E-2
4.947030417E-1,5.577174611E-2
5.046370417E-1,6.532440988E-2
5.145720417E-1,6.500758768E-2
5.245060417E-1,6.462322803E-2
5.344400417E-1,7.034774660E-2
5.443740417E-1,6.102900949E-2
5.543080417E-1,6.888929187E-2
5.642420417E-1,4.928237757E-2
5.741760417E-1,5.005557329E-2
5.841100417E-1,5.836762842E-2
5.940440417E-1,6.789022646E-2
6.039780417E-1,6.162352056E-2
6.139120417E-1,6.794042319E-2
6.238460417E-1,6.617743726E-2
6.337800417E-1,5.309622368E-2
6.437140417E-1,6.117641580E-2
6.536490417E-1,6.611540575E-2
6.635830417E-1,6.136045702E-2
6.735170417E-1,6.047341995E-2
6.834510417E-1,6.459437859E-2
6.933850417E-1,6.586539127E-2
7.033190417E-1,7.569669537E-2
7.132530417E-1,6.730113184E-2
7.231870417E-1,6.144567173E-2
7.331210417E-1,6.519205616E-2
7.430550417E-1,6.161440791E-2
7.529890417E-1,5.961933828E-2
7.629230417E-1,7.217046068E-2
7.728570417E-1,6.541685658E-2
7.827910417E-1,5.294161082E-2
7.927260417E-1,6.476786463E-2
8.026600417E-1,6.369333987E-2
8.125940417E-1,6.565463992E-2
8.225280417E-1,6.738121027E-2
8.324620417E-1,5.688697898E-2
8.423960417E-1,5.689089585E-2
8.523300417E-1,7.579423870E-2
8.622640417E-1,7.250365013E-2
8.721980417E-1,5.849605908E-2
8.821320417E-1,7.219506861E-2
8.920660417E-1,6.462088365E-2
9.020000417E-1,6.337933737E-2
9.119340417E-1,6.613343236E-2
9.218680417E-1,6.497860663E-2
9.318030417E-1,6.296353675E-2
9.417370417E-1,6.094798941E-2
9.516710417E-1,7.291605499E-2
9.616050417E-1,6.708097359E-2
9.715390417E-1,5.835918056E-2
9.814730417E-1,7.565359630E-2
9.914070417E-1,7.518460224E-2
1.001341042E0,6.427561082E-2
1.011275042E0,6.796657438E-2
1.021209042E0,6.603659404E-2
