Time (s),Linear Acceleration y (m/s^2)
1.170463770E-1,-3.631979227E-3
1.339153140E-1,7.706880569E-4
1.508166020E-1,-9.033679962E-4
1.676973690E-1,1.055091619E-3
1.845809550E-1,-1.584440470E-3
2.014648370E-1,-1.164376736E-4
2.183451570E-1,-1.671850681E-3
2.352321810E-1,2.178192139E-3
2.521191760E-1,-2.370685339E-3
2.689953350E-1,9.746551514E-4
2.858866320E-1,1.460373402E-3
3.027543190E-1,-4.339307547E-3
3.196510980E-1,-6.328105927E-3
3.365311240E-1,-1.888424158E-3
3.534215570E-1,2.860605717E-3
3.703018470E-1,-5.212903023E-3
3.871856970E-1,5.363821983E-4
4.040694970E-1,1.436382532E-3
4.209530730E-1,-2.470016479E-4
4.378368520E-1,-2.738445997E-3
4.547201420E-1,8.726716042E-4
4.716067300E-1,5.523115396E-3
4.884857480E-1,-1.968532801E-3
5.053717250E-1,-2.021759748E-3
5.222587800E-1,-3.829210997E-3
5.391355500E-1,5.383491516E-4
5.560226260E-1,-6.928741932E-3
5.729065780E-1,2.973288298E-3
5.897889430E-1,-3.177225590E-3
6.066653160E-1,-2.341508865E-3
6.235577130E-1,3.612339497E-3
6.404413390E-1,6.218850613E-4
6.573237550E-1,2.395480871E-3
6.742085410E-1,-1.417368650E-3
6.910924430E-1,-2.007931471E-3
7.079759880E-1,-3.204911947E-3
7.248597470E-1,-5.198627710E-3
7.417434560E-1,-3.630846739E-3
7.586242650E-1,-3.522634506E-3
7.755134350E-1,2.385944128E-3
7.923953830E-1,-4.324436188E-3
8.092782060E-1,-7.078647614E-4
8.261620370E-1,1.009285450E-3
8.430426940E-1,2.006590366E-4
8.599328510E-1,-2.873152494E-3
8.768130280E-1,-2.125471830E-3
8.936969300E-1,2.713412046E-3
9.105782980E-1,1.726120710E-3
9.274655260E-1,-1.241296530E-3
9.443480030E-1,1.242667437E-3
9.612316810E-1,1.635104418E-3
9.781144630E-1,6.254613400E-4
9.949991780E-1,-2.478718758E-3
1.011880374E0,-1.780897379E-3
1.028769372E0,-1.651972532E-3
1.045650140E0,1.212328672E-3
1.062522048E0,-6.415247917E-4
1.079416967E0,-4.092156887E-4
1.096289719E0,-2.630144358E-3
1.113183406E0,4.091411829E-3
1.130066107E0,-6.793141365E-4
1.146952124E0,7.379055023E-3
1.163838578E0,-4.260182381E-3
1.180711128E0,-1.890003681E-3
1.197603533E0,-1.514494419E-3
1.214485950E0,3.958046436E-4
1.231372140E0,6.563961506E-4
1.248245777E0,6.744861603E-4
1.265125304E0,-3.402948380E-3
1.282018768E0,-3.887236118E-3
1.298907654E0,-4.594504833E-3
1.315789419E0,-1.341104507E-5
1.332673392E0,-1.070648432E-3
1.349557028E0,-2.345651388E-3
1.366424756E0,-2.420514822E-3
1.383314497E0,-4.252344370E-3
1.400208102E0,-4.593878984E-3
1.417096255E0,-5.743175745E-3
1.433975884E0,-1.832306385E-3
1.450858973E0,2.848267555E-3
1.467742812E0,2.439677715E-3
1.484613824E0,-4.494011402E-3
1.501510738E0,-1.516133547E-3
1.518390640E0,-9.908676147E-4
1.535280828E0,-8.952319622E-4
1.552151638E0,-8.008480072E-4
1.569045030E0,-3.700405359E-3
1.585928687E0,-1.241713762E-3
1.602802987E0,-3.212451935E-3
1.619694751E0,-1.241236925E-3
1.636578978E0,-4.316747189E-3
1.653464202E0,-1.397728920E-3
1.670347178E0,8.159279823E-4
1.687230936E0,-1.793295145E-3
1.704114705E0,1.858115196E-3
1.720995108E0,-5.679398775E-3
1.737883902E0,-5.054473877E-4
1.754765656E0,-3.147840500E-3
1.771649345E0,2.811044455E-3
1.788533113E0,-4.428684711E-3
1.805405235E0,2.525597811E-3
1.822300805E0,1.346498728E-3
1.839184615E0,-5.952715874E-4
1.856067721E0,8.235573769E-4
1.872951553E0,-6.100535393E-5
1.889835241E0,-8.711516857E-4
1.906711349E0,-2.143323421E-3
1.923602758E0,-5.277395248E-3
1.940485144E0,1.319646835E-4
1.957370663E0,9.215474129E-4
1.974253791E0,-3.636777401E-3
1.991137500E0,4.503130913E-4
2.008021583E0,3.312349319E-3
2.024904732E0,-1.532256603E-3
2.041773904E0,-3.426045179E-3
2.058669585E0,1.458793879E-3
2.075555826E0,-1.889467239E-3
2.092436604E0,1.637816429E-3
2.109323608E0,9.552240372E-4
2.126209686E0,-8.518993855E-4
2.143091259E0,1.805573702E-3
2.159971294E0,-3.621578217E-3
2.176858136E0,-4.430651665E-3
2.193744946E0,-1.622885466E-3
2.210625817E0,-4.151850939E-3
2.227509168E0,-2.729803324E-3
2.244392937E0,-2.597600222E-3
2.261276218E0,3.767013550E-4
2.278158807E0,-2.130061388E-3
2.295045587E0,3.308832645E-3
2.311927699E0,-1.741111279E-3
2.328811315E0,3.313004971E-3
2.345695094E0,-2.837568521E-3
2.362565741E0,-3.812819719E-3
2.379462603E0,-2.758651972E-3
2.396342760E0,-2.637743950E-3
2.413228534E0,3.213286400E-4
2.430118051E0,-9.620487690E-4
2.446984821E0,5.888640881E-4
2.463881254E0,4.847347736E-3
2.480770762E0,-1.518607140E-3
2.497653747E0,-5.378067493E-3
2.514530782E0,9.870231152E-4
2.531415700E0,-9.551942348E-4
2.548295238E0,-6.332993507E-4
2.565187521E0,-2.308398485E-3
2.582053794E0,-2.505421638E-3
2.598950615E0,-2.524226904E-3
2.615834210E0,-7.306337357E-4
2.632717451E0,-4.857778549E-6
2.649601851E0,1.811653376E-3
2.666485446E0,-2.131462097E-4
2.683369074E0,-1.281499863E-5
2.700251500E0,-1.152545214E-3
2.717136276E0,-2.443134785E-3
2.734019963E0,-8.849501610E-4
2.750903500E0,-6.518200040E-3
2.767786118E0,-3.117024899E-4
2.784670976E0,-1.149713993E-3
2.801554665E0,-2.496570349E-3
2.818437233E0,-4.451870918E-3
2.835325315E0,-2.942711115E-3
2.852206013E0,-2.746701241E-3
2.869089405E0,-1.560837030E-3
2.885972747E0,1.595348120E-3
2.902857096E0,8.878707886E-4
2.919737671E0,1.890122890E-3
2.936624522E0,2.001196146E-3
2.953510927E0,2.035051584E-3
2.970391979E0,-2.103269100E-3
2.987275422E0,-2.745211124E-3
3.004149598E0,-8.709371090E-3
3.021041456E0,-6.708920002E-3
3.037926486E0,-3.456473351E-3
3.054809939E0,-1.720905304E-3
3.071693689E0,3.237724304E-4
3.088576176E0,-2.321302891E-3
3.105461196E0,-1.011639833E-3
3.122343216E0,-3.443062305E-4
3.139228602E0,-1.406580210E-3
3.156112229E0,-1.504689455E-3
3.172995175E0,-5.564838648E-3
3.189880510E0,-2.652704716E-4
3.206763251E0,-2.528458834E-3
3.223647204E0,-2.728551626E-3
3.240527311E0,4.272162914E-3
3.257417702E0,2.413660288E-3
3.274297656E0,2.197653055E-3
3.291178923E0,1.085668802E-3
3.308068460E0,-9.112358093E-4
3.324947194E0,-5.201190710E-3
3.341832825E0,2.279013395E-3
3.358713583E0,-6.402432919E-4
3.375603659E0,6.697177887E-4
3.392483258E0,-9.011030197E-4
3.409366508E0,6.131231785E-4
3.426251171E0,2.095848322E-3
3.443138258E0,1.132786274E-3
3.460015954E0,-3.695785999E-3
3.476902327E0,-3.756910563E-3
3.493785943E0,-1.472234726E-3
3.510669479E0,-5.154073238E-3
3.527553247E0,-2.758324146E-3
3.544436905E0,-1.237869263E-3
3.561320756E0,7.984340191E-4
3.578207271E0,2.267986536E-3
3.595084906E0,-1.593470573E-3
3.611972246E0,-1.017153263E-3
3.628855629E0,3.048688173E-3
3.645739144E0,-4.410594702E-3
3.662609750E0,1.418381929E-3
3.679510832E0,1.145631075E-3
3.696388843E0,3.307312727E-3
3.713264466E0,-1.571446657E-3
3.730156229E0,6.466507912E-4
3.747038249E0,2.142667770E-3
3.763942302E0,5.581378937E-4
3.780794170E0,-1.870274544E-3
3.797692303E0,-2.166599035E-3
3.814572522E0,-1.104772091E-3
3.831451388E0,9.697079659E-4
3.848343254E0,1.242965460E-3
3.865226810E0,5.321770906E-3
3.882110824E0,1.255273819E-4
3.898991031E0,-3.502815962E-3
3.915891779E0,1.805901527E-3
3.932758855E0,2.601742744E-4
3.949648809E0,2.339214087E-3
3.966529282E0,-7.219880819E-3
3.983412828E0,-6.845936179E-3
4.000296251E0,-2.699345350E-3
4.017180040E0,-9.581446648E-4
4.034063748E0,-1.795440912E-3
4.050946093E0,-2.986162901E-3
4.067830941E0,9.125769138E-4
4.084718158E0,-3.147423267E-4
4.101598510E0,2.403557301E-3
4.118479135E0,-4.130750895E-3
4.135368926E0,8.037388325E-4
4.152245402E0,2.701848745E-3
4.169133353E0,-2.879023552E-3
4.186013764E0,-8.155405521E-4
4.202903851E0,-3.339648247E-3
4.219784324E0,3.823876381E-3
4.236663556E0,4.942446947E-3
4.253554681E0,-7.093250751E-4
4.270435296E0,2.468913794E-3
4.287318994E0,-1.127243042E-3
4.304202813E0,-1.686811447E-3
4.321070621E0,2.370715141E-3
4.337967055E0,5.918473005E-3
4.354853632E0,-6.033778191E-4
4.371737758E0,-3.280758858E-3
4.388621008E0,2.125114202E-3
4.405504665E0,4.756033421E-3
4.422382922E0,4.189610481E-4
4.439269253E0,-1.390665770E-3
4.456159004E0,-4.428029060E-4
4.473039437E0,-1.366227865E-3
4.489922992E0,-2.571761608E-3
4.506806822E0,-2.732664347E-3
4.523690510E0,-1.591622829E-3
4.540561117E0,8.798241615E-4
4.557456288E0,1.868605614E-4
4.574328694E0,-3.954738379E-3
4.591215445E0,-1.636087894E-3
4.608103192E0,1.510620117E-3
4.624995200E0,2.488493919E-4
4.641880689E0,-1.052707434E-3
4.658758089E0,-1.222819090E-3
4.675643405E0,-8.196413517E-3
4.692527623E0,-3.425031900E-3
4.709408349E0,5.392670631E-3
4.726296686E0,2.741307020E-3
4.743178076E0,6.411433220E-3
4.760061997E0,4.063755274E-3
4.776945562E0,8.044242859E-4
4.793829199E0,3.155589104E-3
4.810712948E0,5.281627178E-3
4.827596677E0,4.929840565E-3
4.844480089E0,-3.376603127E-4
4.861364073E0,-1.106292009E-3
4.878244240E0,-1.295179129E-3
4.895133349E0,1.638144255E-3
4.912014902E0,3.207921982E-4
4.928898579E0,-2.173930407E-3
4.945779836E0,2.624869347E-3
4.962661500E0,-1.861691475E-3
4.979539643E0,1.489460468E-3
4.996433340E0,8.218884468E-4
5.013316876E0,1.819580793E-3
5.030197186E0,-2.821475267E-3
5.047078951E0,2.393245697E-3
5.063967583E0,-9.279549122E-4
5.080836022E0,-4.231691360E-3
5.097738061E0,-1.818567514E-3
5.114602501E0,-1.543968916E-3
5.131506220E0,-2.917945385E-4
5.148383652E0,-1.287847757E-3
5.165272609E0,1.548111439E-3
5.182166754E0,-8.944272995E-4
5.199033483E0,-2.498656511E-3
5.215923560E0,-3.312677145E-3
5.232804623E0,-2.346605062E-3
5.249688300E0,-1.483142376E-3
5.266568906E0,4.267990589E-4
5.283465219E0,-1.060724258E-3
5.300339567E0,4.561811686E-3
5.317222970E0,-3.345876932E-3
5.334106556E0,-2.744913101E-3
5.350990183E0,-6.260111928E-3
5.367874003E0,1.561343670E-4
5.384757345E0,1.788198948E-3
5.401641644E0,-2.065062523E-3
5.418521963E0,1.475274563E-3
5.435411491E0,1.359552145E-3
5.452288424E0,9.105801582E-4
5.469175997E0,-2.128481865E-3
5.486059593E0,-3.487765789E-4
5.502943536E0,1.669079065E-3
5.519825565E0,-3.952473402E-3
5.536709243E0,-4.823178053E-3
5.553595363E0,-8.274614811E-4
5.570478002E0,-1.358747482E-3
5.587360072E0,7.407069206E-4
5.604247086E0,1.721531153E-3
5.621129096E0,2.960324287E-3
5.638012936E0,-2.037435770E-3
5.654898119E0,-3.378987312E-3
5.671778552E0,2.204626799E-3
5.688663622E0,1.874357462E-3
5.705544330E0,-1.132428646E-3
5.722441660E0,1.298159361E-3
5.739314432E0,1.627922058E-3
5.756198343E0,-9.343028069E-5
5.773081615E0,-7.369369268E-3
5.789966004E0,3.137886524E-4
5.806849549E0,2.616882324E-3
5.823733155E0,-1.136302948E-3
5.840615226E0,-1.786559820E-3
5.857497561E0,-2.598762512E-5
5.874387473E0,2.511203289E-3
5.891267602E0,-1.105576754E-3
5.908151360E0,-2.735465765E-3
5.925035404E0,-1.842707396E-3
5.941925308E0,-2.833902836E-3
5.958799016E0,-7.017850876E-4
5.975689570E0,2.547889948E-3
5.992569555E0,7.325410843E-5
6.009453233E0,1.548290253E-3
6.026336828E0,4.636228085E-3
6.043217964E0,2.142697573E-3
6.060107480E0,5.881756544E-3
6.076984637E0,-5.859136581E-4
6.093874661E0,2.455711365E-3
6.110752226E0,-2.312779427E-3
6.127642170E0,2.822190523E-3
6.144522745E0,1.766651869E-3
6.161406433E0,2.704203129E-3
6.178284749E0,1.671791077E-3
6.195179108E0,2.662479877E-3
6.212057110E0,-1.238822937E-3
6.228941020E0,-1.869231462E-3
6.245824546E0,-4.914730787E-3
6.262701225E0,-2.483874559E-3
6.279589358E0,-2.148270607E-3
6.296478244E0,8.390247822E-4
6.313359115E0,-8.543670177E-3
6.330248875E0,-5.659461021E-5
6.347125177E0,5.236506462E-3
6.364007003E0,-2.763569355E-3
