Time (s),Linear Acceleration z (m/s^2)
1.170463770E-1,-4.022884369E-2
1.339153140E-1,-3.426074982E-2
1.508166020E-1,-2.929496765E-2
1.676973690E-1,-3.845214844E-2
1.845809550E-1,-3.691387177E-2
2.014648370E-1,-6.214618683E-2
2.183451570E-1,-2.327919006E-2
2.352321810E-1,-3.640747070E-2
2.521191760E-1,-3.027343750E-2
2.689953350E-1,-2.898025513E-2
2.858866320E-1,-3.321170807E-2
3.027543190E-1,-3.385066986E-2
3.196510980E-1,-3.281021118E-2
3.365311240E-1,-3.379249573E-2
3.534215570E-1,-3.394126892E-2
3.703018470E-1,-3.916263580E-2
3.871856970E-1,-4.287719727E-2
4.040694970E-1,-3.466796875E-2
4.209530730E-1,-2.936553955E-2
4.378368520E-1,-2.970123291E-2
4.547201420E-1,-3.332328796E-2
4.716067300E-1,-3.679656982E-2
4.884857480E-1,-3.553390503E-2
5.053717250E-1,-3.647804260E-2
5.222587800E-1,-3.840732574E-2
5.391355500E-1,-3.008651733E-2
5.560226260E-1,-3.045272827E-2
5.729065780E-1,-3.229427338E-2
5.897889430E-1,-3.370952606E-2
6.066653160E-1,-3.505897522E-2
6.235577130E-1,-3.526306152E-2
6.404413390E-1,-2.896118164E-2
6.573237550E-1,-3.320407867E-2
6.742085410E-1,-3.270721436E-2
6.910924430E-1,-3.311920166E-2
7.079759880E-1,-3.090763092E-2
7.248597470E-1,-4.048156738E-2
7.417434560E-1,-3.722190857E-2
7.586242650E-1,-3.558731079E-2
7.755134350E-1,-3.534126282E-2
7.923953830E-1,-3.416824341E-2
8.092782060E-1,-3.626346588E-2
8.261620370E-1,-3.544330597E-2
8.430426940E-1,-2.947330475E-2
8.599328510E-1,-3.441810608E-2
8.768130280E-1,-3.516674042E-2
8.936969300E-1,-3.706550598E-2
9.105782980E-1,-3.085708618E-2
9.274655260E-1,-3.463077545E-2
9.443480030E-1,-3.227710724E-2
9.612316810E-1,-2.785778046E-2
9.781144630E-1,-3.417682648E-2
9.949991780E-1,-2.993202209E-2
1.011880374E0,-3.221416473E-2
1.028769372E0,-3.483390808E-2
1.045650140E0,-3.116798401E-2
1.062522048E0,-3.288650513E-2
1.079416967E0,-3.671932220E-2
1.096289719E0,-3.551197052E-2
1.113183406E0,-2.655887604E-2
1.130066107E0,-2.877902985E-2
1.146952124E0,-2.911567688E-2
1.163838578E0,-2.672958374E-2
1.180711128E0,-3.806495667E-2
1.197603533E0,-2.987098694E-2
1.214485950E0,-3.561687469E-2
1.231372140E0,-3.421020508E-2
1.248245777E0,-3.221035004E-2
1.265125304E0,-3.889179230E-2
1.282018768E0,-3.649425507E-2
1.298907654E0,-3.369522095E-2
1.315789419E0,-2.985954285E-2
1.332673392E0,-3.269195557E-2
1.349557028E0,-3.084659576E-2
1.366424756E0,-3.641605377E-2
1.383314497E0,-3.254699707E-2
1.400208102E0,-3.196048737E-2
1.417096255E0,-3.365802765E-2
1.433975884E0,-3.797721863E-2
1.450858973E0,-3.863143921E-2
1.467742812E0,-3.645515442E-2
1.484613824E0,-3.141689301E-2
1.501510738E0,-3.471469879E-2
1.518390640E0,-3.115272522E-2
1.535280828E0,-3.581333160E-2
1.552151638E0,-3.424549103E-2
1.569045030E0,-3.400897980E-2
1.585928687E0,-3.803157806E-2
1.602802987E0,-3.392601013E-2
1.619694751E0,-3.102970123E-2
1.636578978E0,-3.530311584E-2
1.653464202E0,-3.237438202E-2
1.670347178E0,-3.663921356E-2
1.687230936E0,-3.322124481E-2
1.704114705E0,-3.497886658E-2
1.720995108E0,-3.638172150E-2
1.737883902E0,-3.838062286E-2
1.754765656E0,-3.575897217E-2
1.771649345E0,-3.536319733E-2
1.788533113E0,-3.936386108E-2
1.805405235E0,-3.590488434E-2
1.822300805E0,-3.132247925E-2
1.839184615E0,-2.770614624E-2
1.856067721E0,-3.121852875E-2
1.872951553E0,-3.646278381E-2
1.889835241E0,-3.660678864E-2
1.906711349E0,-3.321552277E-2
1.923602758E0,-3.383922577E-2
1.940485144E0,-3.036212921E-2
1.957370663E0,-2.934551239E-2
1.974253791E0,-3.553009033E-2
1.991137500E0,-3.825378418E-2
2.008021583E0,-3.167819977E-2
2.024904732E0,-3.003311157E-2
2.041773904E0,-3.677082062E-2
2.058669585E0,-3.665161133E-2
2.075555826E0,-3.257083893E-2
2.092436604E0,-2.496719360E-2
2.109323608E0,-3.193759918E-2
2.126209686E0,-3.299236298E-2
2.143091259E0,-3.087902069E-2
2.159971294E0,-3.462219238E-2
2.176858136E0,-3.811168671E-2
2.193744946E0,-2.986907959E-2
2.210625817E0,-3.333187103E-2
2.227509168E0,-3.677940369E-2
2.244392937E0,-3.664970398E-2
2.261276218E0,-3.078269958E-2
2.278158807E0,-3.054332733E-2
2.295045587E0,-3.164386749E-2
2.311927699E0,-3.587245941E-2
2.328811315E0,-3.017520905E-2
2.345695094E0,-2.216720581E-2
2.362565741E0,-3.037548065E-2
2.379462603E0,-4.039192200E-2
2.396342760E0,-3.784465790E-2
2.413228534E0,-3.274917603E-2
2.430118051E0,-3.019237518E-2
2.446984821E0,-3.159046173E-2
2.463881254E0,-4.057502747E-2
2.480770762E0,-3.722381592E-2
2.497653747E0,-3.265666962E-2
2.514530782E0,-2.562713623E-2
2.531415700E0,-3.090000153E-2
2.548295238E0,-3.575897217E-2
2.565187521E0,-3.015899658E-2
2.582053794E0,-3.337478638E-2
2.598950615E0,-3.792476654E-2
2.615834210E0,-3.682613373E-2
2.632717451E0,-3.145885468E-2
2.649601851E0,-3.292179108E-2
2.666485446E0,-3.606700897E-2
2.683369074E0,-3.475666046E-2
2.700251500E0,-2.822017670E-2
2.717136276E0,-3.421688080E-2
2.734019963E0,-3.219890594E-2
2.750903500E0,-3.595638275E-2
2.767786118E0,-3.603839874E-2
2.784670976E0,-2.955245972E-2
2.801554665E0,-3.149318695E-2
2.818437233E0,-3.471279144E-2
2.835325315E0,-2.886390686E-2
2.852206013E0,-3.025341034E-2
2.869089405E0,-3.338718414E-2
2.885972747E0,-3.207683563E-2
2.902857096E0,-3.479957581E-2
2.919737671E0,-3.407382965E-2
2.936624522E0,-3.509902954E-2
2.953510927E0,-3.411769867E-2
2.970391979E0,-3.510570526E-2
2.987275422E0,-2.940559387E-2
3.004149598E0,-3.260326385E-2
3.021041456E0,-3.373622894E-2
3.037926486E0,-2.578639984E-2
3.054809939E0,-3.677082062E-2
3.071693689E0,-3.030872345E-2
3.088576176E0,-3.859233856E-2
3.105461196E0,-3.691959381E-2
3.122343216E0,-3.731632233E-2
3.139228602E0,-3.558921814E-2
3.156112229E0,-3.532886505E-2
3.172995175E0,-3.415298462E-2
3.189880510E0,-2.812862396E-2
3.206763251E0,-3.647327423E-2
3.223647204E0,-4.017543793E-2
3.240527311E0,-3.781223297E-2
3.257417702E0,-3.388214111E-2
3.274297656E0,-2.695369720E-2
3.291178923E0,-3.402996063E-2
3.308068460E0,-3.396320343E-2
3.324947194E0,-3.509235382E-2
3.341832825E0,-3.526210785E-2
3.358713583E0,-3.983879089E-2
3.375603659E0,-3.598022461E-2
3.392483258E0,-3.312110901E-2
3.409366508E0,-3.496170044E-2
3.426251171E0,-3.524398804E-2
3.443138258E0,-3.593349457E-2
3.460015954E0,-3.539085388E-2
3.476902327E0,-3.238391876E-2
3.493785943E0,-3.485488892E-2
3.510669479E0,-3.116607666E-2
3.527553247E0,-3.466987610E-2
3.544436905E0,-3.227710724E-2
3.561320756E0,-2.671527863E-2
3.578207271E0,-3.285980225E-2
3.595084906E0,-3.200149536E-2
3.611972246E0,-2.781105042E-2
3.628855629E0,-3.009891510E-2
3.645739144E0,-3.564453125E-2
3.662609750E0,-3.242206573E-2
3.679510832E0,-3.079700470E-2
3.696388843E0,-3.461074829E-2
3.713264466E0,-3.518676758E-2
3.730156229E0,-3.413772583E-2
3.747038249E0,-3.398036957E-2
3.763942302E0,-3.801631927E-2
3.780794170E0,-3.798103333E-2
3.797692303E0,-3.748989105E-2
3.814572522E0,-2.978038788E-2
3.831451388E0,-3.219127655E-2
3.848343254E0,-2.962970734E-2
3.865226810E0,-3.216457367E-2
3.882110824E0,-3.368663788E-2
3.898991031E0,-3.391933441E-2
3.915891779E0,-3.330326080E-2
